Cusomter Name,Location Code,Order Date
Shawna Allison,GEG285WA,20141028
Christina Sutton,SEA893WA,20140114
Wilma Torres,GEG356WA,20141209
Lionel Patterson,LAX585CA,20141212
Faith Mcgee,EUG542OR,20141028
Judy Graves,PDX199OR,20140318
Ian Mendoza,SFO115CA,20140113
Leah Figueroa,PDX417OR,20140212
Tony Perez,SAN636CA,20141224
Steven Boone,SEA883WA,20140827
Rickey Gray,SFO793CA,20141022
Milton Kim,EUG578OR,20140512
Morris Greene,GEG887WA,20140722
Kelley Silva,EUG328OR,20140512
Antoinette Burke,GEG287WA,20141103
Tyler Collier,PDX465OR,20140902
Kristin Curry,SAN688CA,20141222
Diane Ball,PDX516OR,20141017
Sophia Mckinney,EUG971OR,20140425
Christopher Gomez,PDX783OR,20140606
Miguel Bates,PDX267OR,20140903
Shannon Harrington,GEG275WA,20140304
Deborah Garner,PDX534OR,20140606
Anne Gregory,EUG162OR,20140929
Tina Cannon,LAX497CA,20140701
Ernesto Goodman,LAX559CA,20140310
Mabel Dennis,SFO336CA,20140911
Bert Lynch,SFO264CA,20140122
Irvin Sparks,SFO623CA,20141015
Alyssa Schwartz,GEG696WA,20140902
Gwendolyn Logan,SAN998CA,20140414
Ramona Douglas,EUG194OR,20140919
Desiree Turner,SAN231CA,20140814
Alton Soto,EUG851OR,20140123
Beatrice Hall,LAX994CA,20140414
Kellie Bryan,SEA173WA,20140714
Randall Obrien,EUG432OR,20140728
Israel Flores,GEG386WA,20140218
Melanie Guzman,PDX188OR,20141229
Janis Stevenson,SAN914CA,20140805
Tonya Todd,SFO212CA,20140108
Edgar Knight,EUG324OR,20141001
Kendra Roberson,SFO481CA,20141127
Alvin Briggs,PDX173OR,20140313
Gretchen Ortiz,GEG498WA,20141117
Casey Perry,PDX358OR,20141125
Myron Wood,SEA885WA,20140310
Gladys Robertson,EUG848OR,20141006
Juan Peters,LAX236CA,20140716
Stewart Berry,SFO345CA,20141216
Allan Lopez,LAX361CA,20140623
Yvonne Robbins,SFO391CA,20140310
Cesar Barnett,EUG561OR,20141209
Cecil Hunt,SAN372CA,20140812
Velma Hardy,SAN274CA,20140930
Joanna Griffin,SEA697WA,20141201
Lisa Walters,EUG279OR,20141021
Marian Wade,SFO532CA,20140318
Stacy Smith,EUG477OR,20141204
Bob Mckenzie,SFO911CA,20141020
Theresa Hale,SAN159CA,20140204
Dewey Rowe,EUG548OR,20141212
Melba Moran,LAX226CA,20140310
Kenneth Reyes,SAN797CA,20140129
Tomas Tran,LAX786CA,20140915
Gene Alvarez,EUG646OR,20141205
Darla Lindsey,PDX147OR,20140122
Lori Guerrero,LAX619CA,20141201
Gregg Rogers,PDX555OR,20140722
Kyle Tucker,SAN442CA,20140714
Wade Chambers,SEA954WA,20140305
Jan Rios,LAX735CA,20140401
Colleen Lowe,SFO352CA,20140212
Peggy Lucas,LAX613CA,20140617
Noah Bradley,SAN591CA,20140328
Pearl Waters,SEA669WA,20140826
Meghan Burgess,SAN844CA,20140804
Angelica Crawford,SEA399WA,20140722
James Bennett,GEG349WA,20140509
Kelvin Holland,SFO991CA,20140901
Terrance Hunter,LAX835CA,20141230
Blanca Miller,SEA248WA,20140609
Suzanne Tate,SAN597CA,20140707
David Jensen,SEA544WA,20140212
Ana Bass,GEG115WA,20141201
Shaun Butler,PDX634OR,20140908
Ricardo Blair,GEG347WA,20141015
Renee Vasquez,LAX489CA,20140611
Guillermo Martinez,SEA725WA,20141216
Monique Pearson,PDX933OR,20140403
Trevor Taylor,PDX914OR,20140520
Raquel Potter,SEA694WA,20141111
Jasmine Adams,SFO396CA,20140423
Timmy Howell,GEG483WA,20140609
Alfred Lewis,LAX371CA,20140922
Dallas Stanley,GEG599WA,20140109
Juanita Phelps,GEG852WA,20140708
Alexis Nelson,SEA174WA,20140923
Kristopher Lawson,SEA931WA,20140312
